#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
118.9,11,4.188162
103.9,11,4.189157
104.0,10,4.190071
103.9,11,4.191094
103.5,15,4.192447
103.8,12,4.193541
103.9,11,4.194539
103.7,13,4.195713
103.9,11,4.196713
103.8,12,4.197802
103.6,14,4.199065
103.9,11,4.200063
88.5,16,4.201508
104.0,10,4.202413
103.5,15,4.203774
103.8,12,4.204865
88.7,13,4.206037
103.9,11,4.207031
103.9,11,4.208022
103.9,11,4.209021
103.5,15,4.210377
104.0,10,4.211275
118.9,11,4.21227
103.2,17,4.213802
103.8,12,4.214892
104.0,10,4.215803
103.8,12,4.216901
118.4,16,4.218339
103.8,12,4.219427
88.5,15,4.22078
103.7,13,4.221951
104.0,10,4.222865
103.9,11,4.223864
103.8,12,4.224959
88.6,14,4.226224
103.4,16,4.227665
104.0,10,4.22859
103.7,13,4.425409
103.8,12,4.426556
103.9,11,4.427569
103.8,12,4.428652
103.7,13,4.429817
103.3,17,4.431345
103.5,15,4.432683
103.7,13,4.433846
88.7,13,4.435005
104.0,10,4.435906
103.8,12,4.436986
103.6,14,4.438237
103.6,14,4.439478
103.9,11,4.440492
104.0,10,4.441402
104.0,10,4.442537
118.7,13,4.443824
118.9,11,4.445012
103.9,11,4.446119
118.8,12,4.447265
103.6,14,4.448592
103.9,11,4.449601
118.2,18,4.451386
103.8,12,4.452585
103.6,14,4.453921
103.7,13,4.455218
118.1,19,4.45697
103.6,14,4.458246
103.7,13,4.459433
104.0,10,4.460336
103.7,13,4.461496
118.8,13,4.462683
118.4,16,4.464114
103.3,17,4.465705
104.0,10,4.466815
103.5,15,4.468286
103.8,12,4.469409
103.9,11,4.470438
103.8,12,4.471543
103.8,12,4.472639
88.5,15,4.473977
103.6,14,4.475258
103.9,11,4.476272
103.6,14,4.477551
103.6,14,4.478954
104.0,10,4.47992
103.8,12,4.481078
104.0,10,4.482027
103.9,11,4.48311
103.8,12,4.484253
104.0,10,4.485191
118.9,11,4.486209
103.8,12,4.487324
104.0,10,4.488257
103.3,16,4.489733
103.8,12,4.490889
103.8,12,4.491985
104.0,10,4.492917
103.8,12,4.494017
103.9,12,4.495147
103.9,11,4.49618
118.8,12,4.497304
103.9,11,4.498345
104.0,10,4.499276
103.8,12,4.500388
118.6,14,4.501664
103.6,14,4.502974
103.8,12,4.504064
103.9,11,4.505085
118.7,13,4.506279
103.5,16,4.50778
103.5,15,4.509151
103.8,12,4.510275
103.8,12,4.511539
103.9,11,4.512587
104.0,10,4.513535
104.0,10,4.51447
103.7,13,4.515678
103.6,14,4.517009
103.9,11,4.518017
103.3,17,4.519571
103.8,12,4.520688
103.8,12,4.521769
103.6,13,4.522967
103.8,12,4.524068
103.6,14,4.525348
103.4,16,4.526847
103.9,11,4.52785
118.5,15,4.529225
